TIME,Vgs,Iout,Vo,R
-1.48e-07,0.4,0,-80.0,0
-1.472e-07,0.4,0,-80.0,0
-1.464e-07,0.4,0,0,0
-1.456e-07,0.4,0,0,0
-1.448e-07,0.4,0,0,0
-1.44e-07,0.8,0,0,0
-1.432e-07,0.8,0,0,0
-1.424e-07,1.2,0,0,0
-1.416e-07,0.8,0,0,0
-1.408e-07,0.8,0,0,0
-1.4e-07,0.8,0,0,0
-1.392e-07,0.8,0.0,0.0,0
-1.384e-07,0.8,0,-80.0,0
-1.376e-07,1.2,0.0,-80.0,0
-1.368e-07,1.2,0,-80.0,0
-1.36e-07,1.2,0,-80.0,0
-1.352e-07,1.2,0,-80.0,0
-1.344e-07,1.6,0,-80.0,0
-1.336e-07,1.2,0,-80.0,0
-1.328e-07,1.6,0,-80.0,0
-1.32e-07,1.6,0,-80.0,0
-1.312e-07,1.6,0,-80.0,0
-1.304e-07,1.6,0,-80.0,0
-1.296e-07,1.6,0,0,0
-1.288e-07,2.0,0,0,0
-1.28e-07,1.6,0,0,0
-1.272e-07,1.6,0,-80.0,0
-1.264e-07,1.6,0,0,0
-1.256e-07,2.4,0,0,0
-1.248e-07,2.0,0,0,0
-1.24e-07,2.4,0,0,0
-1.232e-07,2.4,0,0,0
-1.224e-07,2.4,0,0,0
-1.216e-07,2.4,0,0,0
-1.208e-07,2.8,0,0,0
-1.2e-07,2.8,0,0,0
-1.192e-07,2.8,0,0,0
-1.184e-07,2.8,0,0,0
-1.176e-07,2.8,0,0,0
-1.168e-07,3.2,0,0,0
-1.16e-07,3.2,0,0,0
-1.152e-07,3.2,0,0,0
-1.144e-07,3.2,0,0,0
-1.136e-07,3.6,0,0,0
-1.128e-07,3.2,0,0.0,0
-1.12e-07,3.2,0,-80.0,0
-1.112e-07,3.6,0,-80.0,0
-1.104e-07,3.6,0,-80.0,0
-1.096e-07,3.6,0,-80.0,0
-1.088e-07,3.6,0,-80.0,0
-1.08e-07,3.6,0,-80.0,0
-1.072e-07,3.6,0,0.0,0
-1.064e-07,3.6,0,-80.0,0
-1.056e-07,4.0,0,-80.0,0
-1.048e-07,4.0,0,-80.0,0
-1.04e-07,4.0,0,-80.0,0
-1.032e-07,4.0,0,-80.0,0
-1.024e-07,4.8,0,-80.0,0
