TIME,Vgs,Iout,Vo,R
3.5928e-06,0.0,0.8,1120.0,1400.0
3.5936e-06,0.4,0.8,1120.0,1400.0
3.5944e-06,0.4,0.8,1120.0,1400.0
3.5952e-06,0.4,0.8,1120.0,1400.0
3.596e-06,0.4,0.8,1120.0,1400.0
3.5968e-06,0.4,0.8,1120.0,1400.0
3.5976e-06,0.4,0.8,1280.0,1600.0
3.5984e-06,0.4,0.8,960.0,1200.0
3.5992e-06,0.4,0.8,960.0,1200.0
3.6e-06,0.8,0.8,960.0,1200.0
3.6008e-06,0.8,0.8,1120.0,1400.0
3.6016e-06,0.8,0.8,1120.0,1400.0
3.6024e-06,1.2,0.8,1120.0,1400.0
3.6032e-06,1.2,0.8,1120.0,1400.0
3.604e-06,1.2,0.4,1120.0,2800.0
3.6048e-06,1.2,0.4,1120.0,2800.0
3.6056e-06,1.2,0.4,1280.0,3200.0
3.6064e-06,1.2,0.4,1120.0,2800.0
3.6072e-06,1.2,0.8,1120.0,1400.0
3.608e-06,1.2,1.2000000000000002,1280.0,1066.6666666666665
3.6088e-06,1.2,0.8,1120.0,1400.0
3.6096e-06,1.2,0.8,1120.0,1400.0
3.6104e-06,1.2,0.8,1120.0,1400.0
3.6112e-06,2.0,0.8,1280.0,1600.0
3.612e-06,1.6,0.8,960.0,1200.0
3.6128e-06,1.6,0.8,1120.0,1400.0
3.6136e-06,1.6,0.8,1120.0,1400.0
3.6144e-06,2.0,1.2000000000000002,1120.0,933.3333333333331
3.6152e-06,2.0,1.2000000000000002,1280.0,1066.6666666666665
3.616e-06,2.0,0.8,1120.0,1400.0
3.6168e-06,2.0,0.8,1120.0,1400.0
3.6176e-06,2.0,0.8,1120.0,1400.0
3.6184e-06,2.4,1.2000000000000002,1280.0,1066.6666666666665
3.6192e-06,2.4,1.2000000000000002,1120.0,933.3333333333331
3.62e-06,2.4,1.2000000000000002,1280.0,1066.6666666666665
3.6208e-06,2.4,1.2000000000000002,1280.0,1066.6666666666665
3.6216e-06,2.0,1.2000000000000002,1280.0,1066.6666666666665
3.6224e-06,2.4,1.2000000000000002,1120.0,933.3333333333331
3.6232e-06,2.8,0.8,1120.0,1400.0
3.624e-06,2.8,1.2000000000000002,1120.0,933.3333333333331
3.6248e-06,2.8,0.8,1120.0,1400.0
3.6256e-06,3.2,0.8,1280.0,1600.0
3.6264e-06,2.4,0.8,1280.0,1600.0
3.6272e-06,2.4,0.8,1280.0,1600.0
3.628e-06,2.8,0.8,1440.0,1800.0
3.6288e-06,2.8,0.8,1120.0,1400.0
3.6296e-06,2.8,0.8,1120.0,1400.0
3.6304e-06,2.8,0.8,1120.0,1400.0
3.6312e-06,2.8,1.2000000000000002,1280.0,1066.6666666666665
3.632e-06,2.8,0.8,1280.0,1600.0
3.6328e-06,2.8,0.8,1280.0,1600.0
3.6336e-06,3.2,0.8,1120.0,1400.0
3.6344e-06,3.2,0.8,1280.0,1600.0
3.6352e-06,3.2,0.8,1120.0,1400.0
3.636e-06,3.2,1.2000000000000002,1280.0,1066.6666666666665
3.6368e-06,4.0,0.8,1120.0,1400.0
3.6376e-06,3.2,0.8,1280.0,1600.0
3.6384e-06,3.2,0.8,1280.0,1600.0
3.6392e-06,2.8,1.2000000000000002,1280.0,1066.6666666666665
3.64e-06,3.2,0.8,1280.0,1600.0
3.6408e-06,3.2,1.2000000000000002,1280.0,1066.6666666666665
3.6416e-06,3.6,0.8,1280.0,1600.0
3.6424e-06,3.6,0.8,1280.0,1600.0
3.6432e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.644e-06,3.6,0.8,1280.0,1600.0
3.6448e-06,3.6,0.8,1280.0,1600.0
3.6456e-06,3.6,0.8,1280.0,1600.0
3.6464e-06,4.0,0.8,1280.0,1600.0
3.6472e-06,4.0,0.8,1280.0,1600.0
3.648e-06,4.0,0.8,1280.0,1600.0
3.6488e-06,4.0,0.8,1280.0,1600.0
3.6496e-06,4.0,0.8,1120.0,1400.0
3.6504e-06,4.0,0.8,1120.0,1400.0
3.6512e-06,4.0,0.8,1120.0,1400.0
3.652e-06,4.0,0.8,1120.0,1400.0
3.6528e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6536e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6544e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6552e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.656e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6568e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6576e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6584e-06,4.0,1.2000000000000002,1120.0,933.3333333333331
3.6592e-06,4.0,0.8,1280.0,1600.0
3.66e-06,4.0,1.2000000000000002,1440.0,1199.9999999999998
3.6608e-06,4.0,1.6,1280.0,800.0
3.6616e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6624e-06,4.0,1.6,1280.0,800.0
3.6632e-06,4.0,1.2000000000000002,1120.0,933.3333333333331
3.664e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6648e-06,4.0,1.2000000000000002,1120.0,933.3333333333331
3.6656e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6664e-06,3.6,1.2000000000000002,1120.0,933.3333333333331
3.6672e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.668e-06,3.6,1.2000000000000002,1120.0,933.3333333333331
3.6688e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6696e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6704e-06,3.6,1.6,1280.0,800.0
3.6712e-06,3.6,0.8,1440.0,1800.0
3.672e-06,3.6,0.8,1280.0,1600.0
3.6728e-06,4.0,0.8,1280.0,1600.0
3.6736e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6744e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6752e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.676e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6768e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.6776e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6784e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6792e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.68e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6808e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6816e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6824e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6832e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.684e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6848e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6856e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6864e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6872e-06,4.0,1.2000000000000002,1280.0,1066.6666666666665
3.688e-06,3.6,1.2000000000000002,1280.0,1066.6666666666665
3.6888e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6896e-06,3.2,1.6,1280.0,800.0
3.6904e-06,3.2,1.2000000000000002,1280.0,1066.6666666666665
3.6912e-06,3.2,1.2000000000000002,1440.0,1199.9999999999998
3.692e-06,3.2,1.2000000000000002,1280.0,1066.6666666666665
3.6928e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6936e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6944e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.6952e-06,4.0,1.2000000000000002,1440.0,1199.9999999999998
3.696e-06,3.2,1.2000000000000002,1440.0,1199.9999999999998
3.6968e-06,3.2,1.2000000000000002,1280.0,1066.6666666666665
3.6976e-06,2.8,1.6,1440.0,900.0
3.6984e-06,2.8,1.2000000000000002,1280.0,1066.6666666666665
3.6992e-06,2.8,1.6,1440.0,900.0
3.7e-06,2.8,1.6,1440.0,900.0
3.7008e-06,3.6,1.6,1440.0,900.0
3.7016e-06,3.2,1.6,1440.0,900.0
3.7024e-06,2.8,1.6,1440.0,900.0
3.7032e-06,3.6,1.2000000000000002,1440.0,1199.9999999999998
3.704e-06,2.8,1.6,1440.0,900.0
3.7048e-06,2.8,1.2000000000000002,1440.0,1199.9999999999998
3.7056e-06,2.8,1.6,1440.0,900.0
3.7064e-06,3.2,1.6,1440.0,900.0
3.7072e-06,3.2,1.6,1440.0,900.0
3.708e-06,3.2,1.6,1440.0,900.0
3.7088e-06,2.8,1.6,1440.0,900.0
3.7096e-06,2.8,1.6,1440.0,900.0
3.7104e-06,2.4,1.6,1440.0,900.0
3.7112e-06,2.4,1.6,1440.0,900.0
3.712e-06,2.4,1.6,1440.0,900.0
3.7128e-06,2.4,1.6,1440.0,900.0
3.7136e-06,2.4,1.6,1440.0,900.0
3.7144e-06,2.4,1.6,1440.0,900.0
3.7152e-06,2.4,1.6,1440.0,900.0
3.716e-06,2.4,1.2000000000000002,1440.0,1199.9999999999998
3.7168e-06,2.4,1.2000000000000002,1600.0,1333.333333333333
3.7176e-06,2.4,1.2000000000000002,1440.0,1199.9999999999998
3.7184e-06,2.4,1.6,1440.0,900.0
3.7192e-06,2.4,1.6,1600.0,1000.0
3.72e-06,2.4,1.6,1440.0,900.0
3.7208e-06,2.4,1.6,1440.0,900.0
3.7216e-06,2.4,1.6,1440.0,900.0
3.7224e-06,2.4,1.6,1600.0,1000.0
3.7232e-06,2.0,1.6,1440.0,900.0
3.724e-06,2.4,1.6,1440.0,900.0
3.7248e-06,2.0,1.2000000000000002,1600.0,1333.333333333333
3.7256e-06,2.0,1.2000000000000002,1280.0,1066.6666666666665
3.7264e-06,2.4,1.2000000000000002,1440.0,1199.9999999999998
3.7272e-06,2.0,1.2000000000000002,1440.0,1199.9999999999998
3.728e-06,2.0,1.2000000000000002,1440.0,1199.9999999999998
3.7288e-06,2.0,1.2000000000000002,1600.0,1333.333333333333
3.7296e-06,2.4,1.6,1600.0,1000.0
3.7304e-06,2.0,1.6,1600.0,1000.0
3.7312e-06,2.0,1.6,1600.0,1000.0
3.732e-06,1.6,1.6,1600.0,1000.0
3.7328e-06,1.6,1.6,1600.0,1000.0
3.7336e-06,1.6,1.6,1600.0,1000.0
3.7344e-06,2.0,2.0,1600.0,800.0
3.7352e-06,1.6,1.6,1600.0,1000.0
3.736e-06,2.0,1.6,1600.0,1000.0
3.7368e-06,1.6,1.6,1600.0,1000.0
3.7376e-06,1.6,1.6,1760.0,1100.0
3.7384e-06,1.6,1.6,1600.0,1000.0
3.7392e-06,1.2,1.6,1600.0,1000.0
3.74e-06,1.2,2.0,1600.0,800.0
3.7408e-06,1.2,2.0,1760.0,880.0
3.7416e-06,1.2,1.6,1600.0,1000.0
3.7424e-06,1.2,1.2000000000000002,1600.0,1333.333333333333
3.7432e-06,1.2,1.2000000000000002,1600.0,1333.333333333333
3.744e-06,1.2,1.2000000000000002,1600.0,1333.333333333333
3.7448e-06,1.2,1.2000000000000002,1600.0,1333.333333333333
3.7456e-06,1.2,1.2000000000000002,1600.0,1333.333333333333
3.7464e-06,1.2,2.0,1600.0,800.0
3.7472e-06,1.6,1.6,1600.0,1000.0
3.748e-06,1.2,1.6,1600.0,1000.0
3.7488e-06,1.2,2.0,1600.0,800.0
3.7496e-06,1.2,2.0,1600.0,800.0
3.7504e-06,1.6,2.0,1760.0,880.0
3.7512e-06,1.2,2.0,1600.0,800.0
3.752e-06,1.2,2.0,1600.0,800.0
3.7528e-06,1.2,2.0,1760.0,880.0
3.7536e-06,1.2,2.0,1600.0,800.0
3.7544e-06,0.8,2.0,1600.0,800.0
3.7552e-06,0.8,2.4,1440.0,600.0
3.756e-06,0.8,2.0,1440.0,720.0
3.7568e-06,1.2,1.6,1440.0,900.0
3.7576e-06,1.2,1.6,1600.0,1000.0
